sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
15.003;61;;60rounds;No;No;1;0.00000;0.00000;1.17743;1.26485;0.00000;SAGASpearman@98;KakeSobaSpearman@99;0.0;0.0;0.0;0.0;0.0;0.0;KillerRobot_util1.xml;KillerRobot_util2.xml
0.015;10;;60rounds;Yes;No;2;0.60563;0.92550;0.07497;0.31077;1.53113;ConanParty@100;KakeSobaSpearman@101;0.9254977101355821;0.60563136336924;0.9254977101355821;0.60563136336924;0.9032170560804822;0.60563136336924;KillerRobot_util1.xml;KillerRobot_util2.xml
15.955;61;;60rounds;No;No;1;0.00000;0.00000;1.17743;1.26485;0.00000;KakeSobaSpearman@102;SAGASpearman@103;0.0;0.0;0.0;0.0;0.0;0.0;KillerRobot_util1.xml;KillerRobot_util2.xml
31.617;61;;60rounds;No;No;1;0.00000;0.00000;1.17743;1.26485;0.00000;SAGASpearman@104;SAGASpearman@105;0.0;0.0;0.0;0.0;0.0;0.0;KillerRobot_util1.xml;KillerRobot_util2.xml
3.876;15;;60rounds;Yes;No;2;0.81534;1.00000;0.10651;0.10651;1.81534;ConanParty@106;SAGASpearman@107;0.8153383821154414;1.0;0.8153383821154414;1.0;0.7983851839915728;1.0;KillerRobot_util1.xml;KillerRobot_util2.xml
0.020;23;;60rounds;Yes;No;2;0.86018;0.87945;0.03175;0.03656;1.73963;KakeSobaSpearman@108;ConanParty@109;0.8601793895726249;0.8794541897599846;0.8601793895726249;0.8794541897599846;0.8601793895726249;0.8886826923275879;KillerRobot_util1.xml;KillerRobot_util2.xml
6.718;23;;60rounds;Yes;No;2;0.62188;1.00000;0.00000;0.31591;1.62188;SAGASpearman@110;ConanParty@111;1.0;0.6218784519753631;1.0;0.6218784519753631;1.0;0.620497058382646;KillerRobot_util1.xml;KillerRobot_util2.xml
0.023;15;;60rounds;Yes;No;2;0.84411;0.97073;0.06644;0.06644;1.81484;ConanParty@112;ConanParty@113;0.8441056248806756;0.9707328620991087;0.8441056248806756;0.9707328620991087;0.8312620328661262;0.9852663127468722;KillerRobot_util1.xml;KillerRobot_util2.xml
;61;Session genius.core.session.Session@b773a44 failed: Failed to execute protocol: domain does not match the negotiation domain:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;Smart_Energy_Grid_util3;IntegerDomain-prof2
;2;Session genius.core.session.Session@99ddd71 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@117:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;SAGASpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;Smart_Energy_Grid_util3;IntegerDomain-prof2
